¨id,kommun,post_ort_saved,personer_count,ratsit_link,created_at,updated_at
184,Ronneby,1,23653,https://www.ratsit.se/personer/Ronneby-kommun,,2025-11-17 14:01:35
185,Rättviks,1,9520,https://www.ratsit.se/personer/R%C3%A4ttviks-kommun,,2025-11-17 14:02:30
186,Sala,1,18671,https://www.ratsit.se/personer/Sala-kommun,,2025-11-17 14:03:24
187,Salems,1,13640,https://www.ratsit.se/personer/Salems-kommun,,2025-11-17 14:04:35
188,Sandvikens,1,31822,https://www.ratsit.se/personer/Sandvikens-kommun,,2025-11-17 14:05:53
189,Sigtuna,1,42106,https://www.ratsit.se/personer/Sigtuna-kommun,,2025-11-17 14:06:52
190,Simrishamns,1,16309,https://www.ratsit.se/personer/Simrishamns-kommun,,2025-11-17 14:07:46
191,Sjöbo,1,16046,https://www.ratsit.se/personer/Sj%C3%B6bo-kommun,,2025-11-17 14:08:39
192,Skara,1,15512,https://www.ratsit.se/personer/Skara-kommun,,2025-11-17 14:09:30
193,Skellefteå,1,62819,https://www.ratsit.se/personer/Skellefte%C3%A5-kommun,,2025-11-17 14:10:31
194,Skinnskattebergs,1,3616,https://www.ratsit.se/personer/Skinnskattebergs-kommun,,2025-11-17 14:11:27
195,Skurups,1,13854,https://www.ratsit.se/personer/Skurups-kommun,,2025-11-17 14:12:19
196,Skövde,1,47891,https://www.ratsit.se/personer/Sk%C3%B6vde-kommun,,2025-11-17 14:13:28
197,Smedjebackens,1,9074,https://www.ratsit.se/personer/Smedjebackens-kommun,,2025-11-17 14:14:26
198,Sollefteå,1,15348,https://www.ratsit.se/personer/Sollefte%C3%A5-kommun,,2025-11-17 14:15:19
199,Sollentuna,1,62543,https://www.ratsit.se/personer/Sollentuna-kommun,,2025-11-17 14:16:14
200,Solna,1,73054,https://www.ratsit.se/personer/Solna-kommun,,2025-11-17 14:17:14
201,Sorsele,1,2000,https://www.ratsit.se/personer/Sorsele-kommun,,2025-11-17 14:18:11
202,Sotenäs,1,7984,https://www.ratsit.se/personer/Soten%C3%A4s-kommun,,2025-11-17 14:19:09
203,Staffanstorps,1,21154,https://www.ratsit.se/personer/Staffanstorps-kommun,,2025-11-17 14:20:01
